,dsyn,diap,bpoc,sosy,fndg
Topic 1,0,0,2,3,10
Topic 2,1,0,1,2,7
Topic 3,0,0,0,8,7
Topic 4,8,0,4,5,20
Topic 5,1,0,3,6,9
Topic 6,1,0,2,2,8
Topic 7,0,0,0,2,4
Topic 8,1,0,0,5,3
Topic 9,2,0,0,9,11
Topic 10,1,0,0,3,4
Topic 11,1,0,0,6,6
Topic 12,0,0,0,3,1
Topic 13,1,0,0,3,8
Topic 14,3,0,0,0,9
Topic 15,3,0,3,3,19
Topic 16,1,0,0,2,3
Topic 17,0,0,0,0,8
Topic 18,0,0,2,5,8
Topic 19,0,0,2,6,5
Topic 20,0,0,2,3,14
Topic 21,2,0,0,4,7
Topic 22,1,0,2,2,8
Topic 23,1,0,0,4,5
Topic 24,1,0,1,8,12
Topic 25,0,0,3,5,11
Topic 26,4,0,2,0,5
Topic 27,1,0,0,3,6
Topic 28,2,0,2,2,7
Topic 29,3,0,3,0,7
Topic 30,1,0,7,1,6
