rank, pmcid, score
1, 3809224, 0.40893927
2, 2801475, 0.39958212
3, 3429973, 0.38828295
4, 3258729, 0.3719319
5, 2935984, 0.34840828
6, 3205748, 0.30370292
7, 3279485, 0.2977483
8, 3526875, 0.2966697
9, 3712160, 0.29501432
10, 2799444, 0.28905168
11, 2752757, 0.27681538
12, 1637975, 0.26614612
13, 3760668, 0.25378674
14, 3611086, 0.2474155
15, 2769292, 0.24518128
16, 3093002, 0.2439663
17, 2922325, 0.24141192
18, 2917397, 0.2411384
19, 3325302, 0.23618138
20, 2832616, 0.22350372
21, 3490454, 0.2223409
22, 3030046, 0.22072019
23, 3821410, 0.21799268
24, 2990395, 0.21603219
25, 2988179, 0.21246724
26, 3152527, 0.20587562
27, 3180501, 0.20377846
28, 2758876, 0.2035714
29, 1570384, 0.20354128
30, 3339066, 0.20348327
31, 3180178, 0.19990407
32, 2802362, 0.1986213
33, 3597339, 0.19367164
34, 3874378, 0.19260891
35, 3536435, 0.18819986
36, 3279508, 0.18718033
37, 3856285, 0.18426046
38, 3249582, 0.18346624
39, 3097588, 0.1825328
40, 3133999, 0.18172446
41, 3667058, 0.18127127
42, 3446146, 0.18005216
43, 2797112, 0.17999639
44, 2845797, 0.17723554
45, 3072481, 0.17675488
46, 3158539, 0.17577831
47, 3410075, 0.17387147
48, 3085391, 0.17204966
49, 3843600, 0.17095044
50, 1629026, 0.1702846
51, 2789951, 0.16677006
52, 3686262, 0.16606651
53, 3333797, 0.16535544
54, 3161439, 0.16475636
55, 2672467, 0.16456063
56, 3248882, 0.16294213
57, 2981154, 0.16285539
58, 1097749, 0.16241716
59, 3406277, 0.16197026
60, 3107160, 0.16196205
61, 3458267, 0.161483
62, 3253394, 0.15895088
63, 2872582, 0.15853292
64, 3481681, 0.15849204
65, 3283750, 0.15828732
66, 3311442, 0.15780751
67, 3395557, 0.15693702
68, 2844689, 0.15652707
69, 1402267, 0.1563347
70, 1557855, 0.15571699
71, 2656330, 0.15520604
72, 150570, 0.15451616
73, 2546416, 0.15444358
74, 3193044, 0.15324622
75, 3248854, 0.1528807
76, 2263062, 0.15252116
77, 3890743, 0.15246268
78, 3620290, 0.15176882
79, 3040862, 0.1503764
80, 3523141, 0.15028921
81, 2438319, 0.15011822
82, 3892961, 0.1500444
83, 3523894, 0.14979336
84, 3546438, 0.14896251
85, 2737775, 0.14884949
86, 3226614, 0.14874917
87, 3632172, 0.14825477
88, 2663767, 0.14809546
89, 3037084, 0.14732827
90, 3431085, 0.1470261
91, 3410680, 0.14657575
92, 3793871, 0.14622596
93, 3006050, 0.14604503
94, 3119459, 0.1454706
95, 3890529, 0.14489502
96, 3662922, 0.14467518
97, 3157077, 0.14420235
98, 2653786, 0.14409024
99, 3248360, 0.14408499
100, 3849098, 0.14404622
101, 3679768, 0.14398964
102, 3582057, 0.14379461
103, 1236944, 0.14317869
104, 3853238, 0.14154035
105, 3657910, 0.14058667
106, 3406274, 0.14023176
107, 3139259, 0.13938601
108, 3114601, 0.13934107
109, 3129103, 0.13906237
110, 1112595, 0.13905403
111, 2799065, 0.13899891
112, 3687644, 0.13822724
113, 3374026, 0.138113
114, 3259362, 0.1380126
115, 3537269, 0.13797164
116, 2881517, 0.13783266
117, 3500825, 0.13760841
118, 3368172, 0.13718861
119, 3048007, 0.13717471
120, 3369912, 0.13715254
121, 3565876, 0.137097
122, 3880210, 0.13704067
123, 3161475, 0.13687186
124, 3230103, 0.13672647
125, 2740252, 0.13560884
126, 3487309, 0.1348598
127, 1399446, 0.1347019
128, 3484629, 0.13460994
129, 2490681, 0.13457204
130, 3544543, 0.13393661
131, 3558662, 0.13386767
132, 2990894, 0.13279781
133, 3506246, 0.13249771
134, 3681214, 0.13240102
135, 3514915, 0.13218254
136, 3504370, 0.13210738
137, 2784986, 0.13189703
138, 1624823, 0.13136889
139, 3517486, 0.1311158
140, 3258019, 0.13083354
141, 3379595, 0.13078108
142, 3141386, 0.13070938
143, 1386707, 0.13020827
144, 183865, 0.13014543
145, 3780548, 0.12981799
146, 3265073, 0.12918176
147, 1208905, 0.12917979
148, 270718, 0.12916501
149, 3183609, 0.12912133
150, 3275945, 0.12911704
151, 2934262, 0.12881538
152, 3480788, 0.12859805
153, 3600221, 0.12830967
154, 3800941, 0.12825587
155, 3766340, 0.12825522
156, 2958892, 0.1279792
157, 3172073, 0.12756251
158, 3603267, 0.1275039
159, 2886048, 0.12745129
160, 3570360, 0.1273611
161, 3787034, 0.1273457
162, 2714572, 0.12699366
163, 3383503, 0.12671572
164, 2695605, 0.12657982
165, 3350215, 0.12644501
166, 3529579, 0.1263772
167, 3662183, 0.12634821
168, 2846740, 0.12629373
169, 2998658, 0.12614259
170, 2904278, 0.12613758
171, 1586188, 0.12602818
172, 3459383, 0.12547548
173, 3263449, 0.12499913
174, 3685544, 0.12495372
175, 2941678, 0.12451037
176, 2778437, 0.12448523
177, 3489819, 0.12445859
178, 2672237, 0.124380335
179, 2952112, 0.12422749
180, 3068585, 0.12410087
181, 1636023, 0.12400617
182, 3693437, 0.123568796
183, 3734890, 0.123478174
184, 3791579, 0.123232976
185, 3717422, 0.12291173
186, 3730207, 0.12269512
187, 3819870, 0.12188542
188, 3015987, 0.121658936
189, 3760957, 0.121555276
190, 3288010, 0.12142446
191, 2722208, 0.12138476
192, 2872585, 0.12134901
193, 2653043, 0.12133177
194, 3014709, 0.12081097
195, 3793493, 0.12063322
196, 2877657, 0.12059302
197, 3605187, 0.12034811
198, 3004645, 0.120229855
199, 3373127, 0.12008333
200, 2628138, 0.11999721
201, 3728873, 0.11989114
