rank, pmcid, score
1, 3726908, 0.4119814
2, 3616185, 0.3912735
3, 3320288, 0.36624667
4, 3021726, 0.34967864
5, 3593508, 0.34686348
6, 2365966, 0.33799183
7, 3655859, 0.32679915
8, 3162819, 0.3137949
9, 3681687, 0.31119743
10, 2249909, 0.3068193
11, 3724487, 0.30113578
12, 3162821, 0.29742548
13, 1413549, 0.29578885
14, 3331474, 0.28512886
15, 3746305, 0.2848039
16, 3221118, 0.28272632
17, 3146856, 0.27734223
18, 3156546, 0.27717376
19, 3651415, 0.2729956
20, 3270293, 0.27233234
21, 3722035, 0.26820064
22, 3289185, 0.26528493
23, 3790046, 0.26379913
24, 2082036, 0.26103616
25, 3751366, 0.26092052
26, 3110373, 0.2600188
27, 3195099, 0.2586601
28, 1308873, 0.25091222
29, 2955686, 0.2492798
30, 3118774, 0.24634732
31, 3389947, 0.24052912
32, 3637271, 0.2353883
33, 2783073, 0.23298028
34, 3033073, 0.23207662
35, 2905189, 0.23039272
36, 3890738, 0.22971721
37, 3792614, 0.22748773
38, 2362766, 0.22679663
39, 3469798, 0.22670977
40, 3715511, 0.22303903
41, 3766589, 0.22278292
42, 2816851, 0.21814032
43, 3564029, 0.2177074
44, 3506076, 0.21520954
45, 3526875, 0.21063283
46, 3789740, 0.20913099
47, 2855073, 0.20898454
48, 3384816, 0.20801555
49, 1112595, 0.20780864
50, 2807719, 0.20574379
51, 2816380, 0.2056571
52, 3680611, 0.20531435
53, 3804820, 0.20450537
54, 2815980, 0.20410259
55, 2827430, 0.20334369
56, 2943686, 0.20191991
57, 2879836, 0.200573
58, 2546434, 0.20009062
59, 2842275, 0.20008153
60, 2893430, 0.19917786
61, 2860402, 0.19800957
62, 2911751, 0.19535278
63, 3080783, 0.19457221
64, 3205006, 0.19402987
65, 3271399, 0.19353352
66, 3422815, 0.19329396
67, 2732551, 0.19316328
68, 3831020, 0.18976966
69, 2740187, 0.18930313
70, 3793441, 0.18761241
71, 2714572, 0.187484
72, 3271297, 0.18672585
73, 2526531, 0.18645826
74, 2834625, 0.18439418
75, 3766129, 0.18434803
76, 1277009, 0.18409978
77, 3700969, 0.18404683
78, 2536182, 0.18401794
79, 2915987, 0.18387167
80, 3583861, 0.18272848
81, 3372328, 0.18212055
82, 3573933, 0.18133266
83, 2988177, 0.18114825
84, 2596154, 0.18101494
85, 3505426, 0.17960735
86, 2923788, 0.17889795
87, 2920271, 0.17877537
88, 3764690, 0.17780484
89, 3249601, 0.17657246
90, 3825647, 0.17623201
91, 3519030, 0.17621714
92, 2738482, 0.17571707
93, 317321, 0.175325
94, 3649447, 0.1747525
95, 3519021, 0.17415312
96, 3891388, 0.17388782
97, 3299364, 0.17358582
98, 2693852, 0.17301394
99, 2879976, 0.17280023
100, 3793530, 0.1717718
101, 3133999, 0.17087996
102, 3403114, 0.17077559
103, 3872384, 0.17004846
104, 1949845, 0.16992812
105, 2876701, 0.16931576
106, 3616825, 0.16807969
107, 3465000, 0.16803496
108, 3522360, 0.16793552
109, 3812863, 0.16751923
110, 3337385, 0.16721438
111, 3160889, 0.16669916
112, 3097723, 0.16603446
113, 3879350, 0.16525586
114, 3563698, 0.16402577
115, 3033847, 0.16301557
116, 3683464, 0.16298074
117, 3088751, 0.16292259
118, 3625881, 0.1623968
119, 3420557, 0.16181445
120, 3786275, 0.16174121
121, 3799714, 0.16130614
122, 2984474, 0.16053501
123, 3180182, 0.15981452
124, 1784817, 0.15971906
125, 3114546, 0.15954041
126, 3570930, 0.15949202
127, 2118902, 0.15943341
128, 2516181, 0.1593981
129, 1851004, 0.15923157
130, 2899025, 0.15839522
131, 2801047, 0.15824635
132, 3141692, 0.15749969
133, 3797640, 0.15732785
134, 3376101, 0.1571034
135, 2553052, 0.15687644
136, 3000139, 0.15658702
137, 548142, 0.15628259
138, 2802352, 0.15619539
139, 3396855, 0.15619294
140, 3828326, 0.15588072
141, 3123219, 0.15570144
142, 3845747, 0.15436691
143, 2931126, 0.15430056
144, 1609165, 0.15411234
145, 2474644, 0.15346134
146, 3227160, 0.15264893
147, 3022836, 0.15241095
148, 2769458, 0.15235372
149, 3463044, 0.1522389
150, 3606747, 0.15144041
151, 3053740, 0.15126345
152, 272934, 0.15116382
153, 3856272, 0.14946054
154, 3593479, 0.14924566
155, 3468379, 0.14873147
156, 2018704, 0.14827977
157, 3120998, 0.14809181
158, 2846739, 0.14761381
159, 2212545, 0.1473059
160, 3127313, 0.14683771
161, 3146430, 0.1467204
162, 3146124, 0.14631371
163, 3249282, 0.14620787
164, 3841693, 0.14591008
165, 1277007, 0.14561094
166, 2135104, 0.14529954
167, 3014930, 0.14515963
168, 2864281, 0.14512613
169, 2981840, 0.14507954
170, 2967834, 0.14496438
171, 3560147, 0.14466293
172, 3502108, 0.1445787
173, 2169218, 0.14441891
174, 3025133, 0.14329043
175, 2829519, 0.14288521
176, 3335556, 0.14275183
177, 3833508, 0.14273147
178, 2894487, 0.14257081
179, 2934581, 0.14245552
180, 3063409, 0.14222601
181, 3113993, 0.1420964
182, 2784986, 0.14179553
183, 2572046, 0.14158581
184, 3177835, 0.14105643
185, 3821277, 0.14091507
186, 3247867, 0.14087445
187, 3530496, 0.14070685
188, 3021307, 0.1407006
189, 3549771, 0.14044043
190, 2789703, 0.14028977
191, 2862513, 0.14011255
192, 518969, 0.13997413
193, 3844354, 0.13995403
194, 2740170, 0.13995203
195, 3526594, 0.13981526
196, 3329735, 0.13950604
197, 3049676, 0.13893187
198, 137228, 0.13887343
199, 3743379, 0.13871977
200, 3291424, 0.13865356
201, 2536181, 0.13835436
202, 3015220, 0.13804519
203, 3015846, 0.1373183
204, 3560221, 0.13722923
205, 2803992, 0.13718602
206, 3193824, 0.1371273
207, 2672467, 0.1370878
208, 3234159, 0.13687259
209, 3702368, 0.13665727
210, 2706800, 0.13645236
211, 2917397, 0.13591163
212, 3647710, 0.13586025
213, 3528766, 0.13568111
214, 2788453, 0.13554098
215, 3427817, 0.135529
216, 3282455, 0.13545859
217, 2621130, 0.13493387
218, 3754419, 0.13480632
219, 3371528, 0.1347543
220, 3323212, 0.13472556
221, 3104865, 0.1341249
222, 3679720, 0.1341078
223, 3315414, 0.13399047
224, 3082970, 0.13398576
225, 3680612, 0.13397439
226, 3310445, 0.1338677
227, 2627817, 0.13325273
228, 3695309, 0.13248232
229, 3249300, 0.13244005
230, 3540336, 0.1320204
231, 2768669, 0.131956
232, 3517523, 0.13163283
233, 3665106, 0.13138111
234, 3522370, 0.13066615
235, 3022139, 0.13065305
236, 3160360, 0.13040116
237, 3491247, 0.13006398
238, 2878711, 0.12998363
239, 3012278, 0.12983449
240, 3424871, 0.12896045
241, 2828460, 0.12880526
242, 2746535, 0.12868932
243, 2664289, 0.12868434
244, 2811908, 0.12856956
245, 3047893, 0.12836742
246, 3852475, 0.128366
247, 3647711, 0.12828149
248, 1475844, 0.12818258
249, 3446146, 0.12791663
250, 3213726, 0.1277587
251, 2884449, 0.1266921
252, 3000162, 0.12656918
253, 2104532, 0.12648727
254, 3841697, 0.125948
255, 2946956, 0.12557343
256, 3327058, 0.12504809
257, 3150827, 0.124615856
258, 3618925, 0.12442936
259, 3816040, 0.12418747
260, 3616178, 0.12414464
261, 3545889, 0.12403774
262, 3177462, 0.124006994
263, 2614958, 0.12387394
264, 3826096, 0.12351693
265, 2245957, 0.12351599
266, 3524028, 0.12280841
267, 2229660, 0.12269083
268, 1277006, 0.12238002
269, 2943722, 0.122345656
270, 1464381, 0.12234257
271, 3377922, 0.12205844
272, 2974228, 0.1217027
273, 3673848, 0.12162497
274, 3416909, 0.12142866
275, 3655108, 0.12142465
276, 2788580, 0.12090396
277, 3785906, 0.12088344
278, 3583117, 0.120746516
279, 2799065, 0.12072127
280, 3883468, 0.120389216
281, 1878481, 0.11989886
282, 3778786, 0.11984443
283, 3590352, 0.11980571
284, 3731229, 0.119071044
285, 2708148, 0.11885936
286, 3121095, 0.11856384
287, 2910866, 0.11852588
288, 3557185, 0.11852379
289, 2738487, 0.1178746
290, 2687833, 0.11755684
291, 2808565, 0.117541485
292, 3501804, 0.11732081
293, 3053651, 0.117183685
294, 3299121, 0.11697919
295, 3570920, 0.1166101
296, 3459593, 0.116340615
297, 3056249, 0.116196886
298, 3363130, 0.11605789
299, 2739847, 0.115814455
300, 3249314, 0.11549359
301, 2892667, 0.115465745
302, 3479037, 0.1154305
303, 3892523, 0.11542782
304, 3568139, 0.11498576
305, 3654605, 0.11494479
306, 2878410, 0.114890754
307, 116426, 0.1148548
308, 3213721, 0.11480733
309, 3232490, 0.11466443
310, 2876832, 0.114417575
311, 3786726, 0.11438695
312, 2827099, 0.114170924
313, 2740138, 0.114068136
314, 3327147, 0.113813914
315, 3642458, 0.113554485
316, 3610129, 0.11355138
317, 2676803, 0.11355114
318, 2876707, 0.11339568
319, 3789280, 0.11322088
320, 3867258, 0.113108605
321, 3355033, 0.112976
322, 3097657, 0.11279451
323, 3511296, 0.11257612
324, 3766340, 0.11253683
325, 3542335, 0.112332836
326, 3526528, 0.11208856
327, 3207882, 0.112017415
328, 2217593, 0.11199029
329, 3087249, 0.11178989
330, 3279680, 0.11161973
331, 2878687, 0.1111777
332, 3831017, 0.11107636
333, 3548694, 0.110818475
334, 3411470, 0.11076838
335, 3600016, 0.11067586
336, 3134956, 0.110588595
337, 3461730, 0.110480055
338, 3867856, 0.11036086
339, 153498, 0.11031847
340, 2526418, 0.11024168
341, 3484625, 0.11000998
342, 3535733, 0.1099889
343, 3125024, 0.109962344
344, 3414549, 0.10995874
345, 517719, 0.10991816
346, 2917650, 0.10978406
347, 3004261, 0.10974782
348, 3767021, 0.10969917
349, 2479764, 0.109670065
350, 3109841, 0.10934723
351, 3502772, 0.10930116
352, 3339748, 0.1092896
353, 3113185, 0.10916507
354, 3591538, 0.10915923
355, 3564269, 0.10913866
356, 3385501, 0.10906092
357, 3311181, 0.109047584
358, 3226568, 0.108994976
359, 3120277, 0.108962044
360, 2941259, 0.10882155
361, 3118372, 0.10869027
362, 3640090, 0.1081481
363, 3496690, 0.10812382
364, 2732523, 0.10792849
365, 3809217, 0.10791026
366, 3004609, 0.1078888
367, 2988176, 0.10780999
368, 3099506, 0.10778575
369, 2705726, 0.107654
370, 3161439, 0.10763904
