rank, pmcid, score
1, 2119517, 0.3442541
2, 3512986, 0.294868
3, 3390729, 0.26775825
4, 2384417, 0.22834623
5, 3582909, 0.22613487
6, 3624085, 0.2248631
7, 3433130, 0.22299044
8, 2626898, 0.22227147
9, 2448348, 0.22227147
10, 2479738, 0.22218974
11, 2967105, 0.19393042
12, 2886258, 0.18505403
13, 2118715, 0.17624521
14, 3839282, 0.17503235
15, 2627698, 0.16834894
16, 2601802, 0.16670361
17, 2051329, 0.16670361
18, 2578943, 0.16670361
19, 2475405, 0.16587879
20, 2765189, 0.1646787
21, 3690638, 0.15658732
22, 2812750, 0.15327756
23, 3113084, 0.15290035
24, 3332467, 0.15267435
25, 2699708, 0.14899045
26, 3566212, 0.14867233
27, 1971402, 0.1458603
28, 3805180, 0.14432152
29, 3012913, 0.1427164
30, 2479679, 0.1427164
31, 3378501, 0.14188458
32, 2840786, 0.14089236
33, 1586011, 0.1407092
34, 2640255, 0.13973045
35, 2980637, 0.13973045
36, 3556401, 0.13940567
37, 2657285, 0.13930254
38, 2449161, 0.13886859
39, 2448288, 0.13886859
40, 3036609, 0.13793883
41, 3432334, 0.1365643
42, 3354781, 0.13653485
43, 3630112, 0.13588288
44, 2149354, 0.13569133
45, 3778249, 0.13557291
46, 3771422, 0.13535656
47, 3311266, 0.13445285
48, 3572672, 0.1340098
49, 2009426, 0.13307148
50, 2858133, 0.13252026
51, 2906941, 0.13212483
52, 2172231, 0.13186467
53, 3400829, 0.13172719
54, 3529425, 0.13082047
55, 3276918, 0.13021556
56, 3876602, 0.13014875
57, 3314976, 0.1291737
58, 2595434, 0.12875684
59, 3088919, 0.12803821
60, 3433014, 0.12782782
61, 2943710, 0.12773634
62, 3850451, 0.12732819
63, 3053744, 0.12584834
64, 2578988, 0.12552495
65, 3301222, 0.12457258
66, 3645613, 0.124472864
67, 3665052, 0.12408783
68, 3149140, 0.12390963
69, 3309380, 0.12388062
70, 2687736, 0.123540066
71, 3275446, 0.12322608
72, 2903612, 0.12302093
73, 3442992, 0.122983426
74, 3362818, 0.12273639
75, 2807719, 0.12252327
76, 2678699, 0.12228808
77, 3687170, 0.12177662
78, 3749557, 0.121438295
79, 3288911, 0.121260345
80, 2722751, 0.121228315
81, 2876299, 0.12101795
82, 2864281, 0.12045609
83, 3707916, 0.12043768
84, 3054221, 0.12024081
85, 3505426, 0.11979914
86, 3121095, 0.11930166
87, 3877436, 0.11909166
88, 2010475, 0.11904067
89, 2735811, 0.11873461
90, 270616, 0.11745803
91, 3555602, 0.11734456
92, 3334007, 0.116437554
93, 3085272, 0.11614026
94, 3223519, 0.11577016
95, 2704180, 0.11569989
96, 3670630, 0.1153012
97, 3130897, 0.114995405
98, 3667321, 0.11446791
99, 3826425, 0.114325345
100, 3498672, 0.11419866
101, 2448314, 0.114173114
102, 3664867, 0.11408185
103, 2693647, 0.11401724
104, 2193569, 0.114002235
105, 2596547, 0.11388578
106, 3380670, 0.113719575
107, 3773974, 0.11315505
108, 3555904, 0.11273054
109, 3245393, 0.112423666
110, 3806322, 0.11234358
111, 1863413, 0.11226718
112, 3784881, 0.11226383
113, 2568942, 0.11224724
114, 3206011, 0.111710794
115, 3724090, 0.111477755
116, 3423347, 0.111249454
117, 2448742, 0.111135736
118, 3013173, 0.111135736
119, 2150114, 0.11069532
120, 2671142, 0.11067459
121, 1240420, 0.11058586
122, 3130965, 0.11053046
123, 3341182, 0.1100568
124, 2847722, 0.10973938
125, 3111384, 0.1093734
126, 3214529, 0.10899373
127, 2938379, 0.108431116
128, 3546438, 0.108416714
129, 3628883, 0.10839777
130, 3288925, 0.108348414
131, 3821236, 0.10816925
132, 3646757, 0.10781751
133, 3537120, 0.10767211
134, 2758596, 0.10688835
135, 2657994, 0.106835276
136, 3701787, 0.10675072
137, 2196282, 0.106686875
138, 3461504, 0.10656925
139, 3626312, 0.106507614
140, 3019596, 0.10648579
141, 2206392, 0.106462315
142, 2604478, 0.10629009
143, 3675373, 0.10619038
144, 2783121, 0.10601558
145, 2921356, 0.105882585
146, 59598, 0.10585544
147, 3130723, 0.10580131
148, 2211794, 0.10577899
149, 3056415, 0.105384335
150, 3654329, 0.10530937
151, 2999594, 0.10519949
152, 3214434, 0.10493951
153, 3636843, 0.104550526
154, 3499256, 0.10383302
155, 3385267, 0.10377624
156, 3632157, 0.10352622
157, 3884194, 0.10316001
158, 3494084, 0.10295768
159, 3841562, 0.10293868
160, 3288937, 0.10276714
161, 3304341, 0.102760784
162, 3518712, 0.10255068
163, 3677018, 0.102520764
164, 2854980, 0.10240882
165, 3463069, 0.10233514
166, 3458406, 0.10221005
167, 3713689, 0.102091454
168, 1866494, 0.10187514
169, 2755156, 0.101498134
170, 2827126, 0.101464845
171, 3545255, 0.101227805
172, 3403048, 0.10120356
173, 2991882, 0.10119262
174, 3526237, 0.100895256
175, 3371471, 0.10078176
176, 2940776, 0.10065316
177, 1524788, 0.10020057
178, 2802360, 0.100180045
179, 2893090, 0.100064844
180, 3154083, 0.10001607
181, 3498075, 0.09993319
182, 3249821, 0.099933095
183, 3620054, 0.09986736
184, 3841793, 0.099825606
185, 2910088, 0.09965006
186, 3726922, 0.09961039
187, 3853876, 0.099447824
188, 3579987, 0.099443376
189, 2989964, 0.099251255
190, 2994460, 0.09915729
191, 2585578, 0.09910373
192, 3513030, 0.09895863
193, 3575000, 0.09881465
194, 3385402, 0.09863923
195, 3247765, 0.09854097
196, 2827161, 0.09836011
197, 3535726, 0.09833368
198, 2809287, 0.09829364
199, 3488512, 0.09821471
200, 2644321, 0.09809834
201, 3469076, 0.098009296
202, 2270760, 0.09784117
203, 3629250, 0.09764379
204, 3476180, 0.097617626
205, 1269460, 0.097584486
206, 2526447, 0.09750193
207, 3214326, 0.097433314
208, 2188868, 0.097420126
