Topic number : 1
[sosy],Concept Name : Coffee ground emesis
,Preferred Name : Coffee ground vomiting
[sosy],Concept Name : Coffee ground emesis
,Preferred Name : Coffee ground vomiting
[sosy],Concept Name : Coffee ground emesis
,Preferred Name : Coffee ground vomiting
[sosy],Concept Name : Coffee ground emesis
,Preferred Name : Coffee ground vomiting
[sosy],Concept Name : Coffee ground emesis
,Preferred Name : Coffee ground vomiting
[sosy],Concept Name : Coffee ground emesis
,Preferred Name : Coffee ground vomiting
[sosy],Concept Name : clammy
,Preferred Name : Clammy skin
[bpoc],Concept Name : Extremities
,Preferred Name : Limb structure
[sosy],Concept Name : clammy
,Preferred Name : Clammy skin
[bpoc],Concept Name : extremities
,Preferred Name : All extremities
Topic number : 2
[sosy],Concept Name : Cough
,Preferred Name : Coughing
[diap, topp],Concept Name : bronchoalveolar lavage
,Preferred Name : Bronchial Lavage
[diap],Concept Name : broncho-alveolar lavage
,Preferred Name : Bronchoscopic irrigation
[diap, topp],Concept Name : Bronchoalveolar Lavage
,Preferred Name : Bronchoalveolar Lavage
Topic number : 3
[sosy],Concept Name : Dyspnea
,Preferred Name : Dyspnea
[sosy],Concept Name : Dyspnea
,Preferred Name : Dyspnea
[sosy],Concept Name : Tachypnea
,Preferred Name : Tachypnea
[sosy],Concept Name : Chest Pain
,Preferred Name : Chest Pain
[sosy],Concept Name : Pain in calf
,Preferred Name : Pain in calf
Topic number : 4
[sosy],Concept Name : Acute chest pain
,Preferred Name : Acute chest pain
[sosy],Concept Name : Acute chest pain
,Preferred Name : Acute chest pain
[dsyn],Concept Name : Hypertension
,Preferred Name : Hypertensive disease
[dsyn],Concept Name : Sinus Tachycardia
,Preferred Name : Sinus Tachycardia
[diap],Concept Name : Coronary angiography
,Preferred Name : Coronary angiography
[diap],Concept Name : Coronary angiography
,Preferred Name : Coronary angiography
[diap],Concept Name : ventriculography
,Preferred Name : Cerebral Ventriculography
[diap],Concept Name : ventriculography
,Preferred Name : Cardiac ventriculography
Topic number : 5
[dsyn],Concept Name : Joint inflammation
,Preferred Name : Arthritis
Topic number : 6
[dsyn],Concept Name : Exophthalmia
,Preferred Name : Exophthalmos
Topic number : 7
[sosy],Concept Name : Fatigue
,Preferred Name : Fatigue
Topic number : 8
[orch, phsu],Concept Name : A-10
,Preferred Name : antineoplaston A10
[orch, phsu],Concept Name : A-10
,Preferred Name : antineoplaston A10
[dsyn],Concept Name : Failure to Thrive
,Preferred Name : Failure to Thrive
[sosy],Concept Name : Snores
,Preferred Name : Snoring
[aapp, bacs, phsu],Concept Name : His
,Preferred Name : Histidine
[aapp, bacs, phsu],Concept Name : His
,Preferred Name : Histidine
[aapp, bacs, phsu],Concept Name : His
,Preferred Name : Histidine
[aapp, bacs, phsu],Concept Name : His
,Preferred Name : Histidine
[sosy],Concept Name : gasps
,Preferred Name : Gasping for breath
[aapp, bacs, phsu],Concept Name : His
,Preferred Name : Histidine
[sosy],Concept Name : gasps
,Preferred Name : Gasping for breath
Topic number : 9
[orch, phsu],Concept Name : A-10
,Preferred Name : antineoplaston A10
[orch, phsu],Concept Name : A-10
,Preferred Name : antineoplaston A10
[orch, phsu],Concept Name : A-10
,Preferred Name : antineoplaston A10
[orch, phsu],Concept Name : A-10
,Preferred Name : antineoplaston A10
[orch, phsu],Concept Name : A-10
,Preferred Name : antineoplaston A10
[orch, phsu],Concept Name : A-10
,Preferred Name : antineoplaston A10
[orch, phsu],Concept Name : A-10
,Preferred Name : antineoplaston A10
[orch, phsu],Concept Name : A-10
,Preferred Name : antineoplaston A10
[orch, phsu],Concept Name : A-10
,Preferred Name : antineoplaston A10
[orch, phsu],Concept Name : A-10
,Preferred Name : antineoplaston A10
[orch, phsu],Concept Name : A-10
,Preferred Name : antineoplaston A10
[orch, phsu],Concept Name : A-10
,Preferred Name : antineoplaston A10
[orch, phsu],Concept Name : A-10
,Preferred Name : antineoplaston A10
[orch, phsu],Concept Name : A-10
,Preferred Name : antineoplaston A10
[orch, phsu],Concept Name : A-10
,Preferred Name : antineoplaston A10
[orch, phsu],Concept Name : A-10
,Preferred Name : antineoplaston A10
[orch, phsu],Concept Name : A-10
,Preferred Name : antineoplaston A10
[orch, phsu],Concept Name : A-10
,Preferred Name : antineoplaston A10
[orch, phsu],Concept Name : A-10
,Preferred Name : antineoplaston A10
[orch, phsu],Concept Name : A-10
,Preferred Name : antineoplaston A10
[orch, phsu],Concept Name : A-10
,Preferred Name : antineoplaston A10
